Bhojpuri Morisien,Kreol Morisien,English
adhikari rapor likhat ba,ofisye pe ekrir rapor la,the officer is writing the report
patra,degre,degree
ham ke patra mil gal ba,mo finn gayn mo degre,i have received my degree
ii patra bahut kimti ba,sa degre la ena buku valer,this degree is very valuable
u abhi patra khatir padhat ba,li pe ankor etidye pu gayn so degre,he is still studying for his degree
berr,ver,glass
ham ek berr dud piye ke tchahi,mo anvi bwar enn ver dile,i want to drink a glass of milk
latab par du go berr rakhal ba,ena de ver lor latab,two glasses are kept on the table
ii berr sappha nay ba,sa ver la pa prop,this glass is not clean
dokterr,dokter,doctor
dokterr lopital me baithal ba,dokter pe asize dan lopital,the doctor is sitting in the hospital
ham kal dokterr ke dekhawe jaiba,mo pu al get dokter dime,i will go to see the doctor tomorrow
dokterr hamni se kahal aram kare ke,dokter finn dir mwa repoze,the doctor said to take rest
garri,trin,rail train
garri me bahut bheed ba,ena bukou dimunn dan trin,the train is very crowded
ham garri se patna jathayn,mo pe al patna par trin,i am going to patna by train
u garri me yatra karat ba,li pe vwayaz par trin,he is traveling by train
samay,ler,time
samay bahut keemti ba,ler byin presye,time is very precious
ab samay badal gal ba,aster ler finn sanze,now the time has changed
samay sabke badal dela,ler sanze tu dimunn,time changes everyone
soferr,sofer,driver
soferr garri kondirre karat ba,soferr pe kondir loto,the driver is driving the car
soferr deri se al ba,soferr finn vinn an retar,the driver came late
soferr bajaar gal ba,soferr finn al bazar,the driver has gone to the market
tchirag,lalanp,lamp
tchirag bujh gal,lalanp finn teyn,the lamp went out
ham ego nawa tchirag kharidni,mo finn aste enn nuvo lalanp,i bought a new lamp
tchirag ke tel khatam ho gal,delwil finn fini dan lalanp la,the oil in the lamp is finished
rekha,liy,line
rekha sidha nay ba,la lin pa drwat,the line is not straight
nerrs,ners,nurse
hamaar bahinn nerrs ban gal,mo ser finn vinn enn ners,my sister has become a nurse
ii nerrs bahut dayalu ba,sa ners la byin zanti,this nurse is very kind
nerrs daway samay parr det baani,ners donn medikaman dan ler,the nurse gives medicine on time
lekol,lekol,school
ham harr phajire lekol jathayn,mo al lekol sak gramatin,i go to school every morning
lekol bann ba chhutthi ke karann,lekol ferme parski ena vakans,the school is closed because of holidays
lekol ke age ego naya buthik khulal ba,enn nuvo labutik finn uver devan lekol la,a new shop has opened in front of the school
prijon,prison,jail
okar bhai tchorri ke ka me prijon me ba,so frer dan prison pou enn ka voler,his brother is in prison for theft
police oke kal phajire prijon le gal,lapolis finn amen li dan prison yer gramatin,the police took him to prison yesterday morning
prijon ke bagal me ego chhota mandir ba,ena enn ti lakaz bondie akote prison la,theres a small temple next to the prison
sangrahak,kolekter,collector
sangrahak puranya rupiya ke ramase karata,kolekter kolekte vye rupi,the collector collects old coins
mije ke sangrahak bahut gyaani ba,kolekter dan mize la byin konesans,the museum curator is very knowledgeable
gawn ke kar sangrahak sab log se tax lewata,kolekter vilaz pren tax ar tu dimunn,the village tax collector collects tax from everyone
kaptann,kaptann,captain chief
hamaar lekip ke kaptann ravi ba,kaptann nu lekip se ravi,ravi is the captain of our team
dahadj ke kaptann samunndarr me hukum dewata,kaptenn bato la pe donn lord dan lamer,the ships captain is giving orders at sea
sena ke kaptann bahut himmatwala ba,kapten dan larme la byin kuraze,the army captain is very brave
antcharr,zasar,pickles
ham roj khana ke sannge antcharr khatayn,mo manz zasar avek manze tulezur,i eat pickles with food everyday
ii antcharr bahut thita ba,sa zasar la tro for,this pickle is very spicy
ma bajaar se nawa antcharr anla,mama finn amen nuvo zasar depi bazar,mother brought new pickles from the market
lamwarr,larmwar,wardrobe
luga lamwarr me rakha da,gard so linz dan larmwar,keep the clothes in the wardrobe
lamwarr ke dwarr khulal ba,laport larmwar la uver,the wardrobe door is open
ii lamwarr bahut purrana ba,sa larmwar la byin vye,this wardrobe is very old
simij,simiz,shirt
ham nawa simij kharidni,mo finn aste enn nuvo simiz,i bought a new shirt
ii simij bahut sappha aur joli ba,sa simiz la byin prop ek zoli,this shirt is very clean and beautiful
tu roj birro me ii simij pahene la,to met sa simiz la tulezur pu al biro,you wear this shirt to the office every day
kamra,lasam,room
hamaar kamra bahut bara ba,mo lasam la byin gran,my room is very big
kamra me ego latab aur sej ba,ena enn latab ek sez dan lasam,there is a table and chair in the room
kamra ke dwarr khulal ba,laport lasam la uver,the room door is open
sio,seo,bucket
pani bhare ke sio me ana,renpli dilo dan enn seo ek amene,fill the bucket with water and bring it
sio pani se bharal ba,seo la plen ar dilo,the bucket is full of water
ii sio bahut purrana ba,sa seo la byin vye,this bucket is very old
tchaabhi,lakle,key
ghar ke dwarr khole khatir tchaabhi tchahen la,to bizin lakle pu uver laport lakaz,you need a key to open the house door
ham apan tchaabhi perrdhi kar dela,mo finn perdi mo lakle,i have lost my key
ii tchaabhi bahut purrana ba,sa lakle la byin vye,this key is very old
tamaku,taba,tobacco
u roj tamaku piye la,li fim taba tulezur,he smokes tobacco every day
tamaku swast ke kharab ho sakat ba,taba pu afekte lasante,tobacco harms health
bajaar se tamaku ana,pren taba depi bazar,bring tobacco from the market
gharr,lakaz,house
hamaar gharr gawn me ba,mo lakaz dan vilaz,my house is in the village
gharr ke dwarr khulal ba,laport lakaz la uver,the house door is open
gharr me ego chhota jarrdin ba,ena enn ti zardin dan lakaz,there is a small garden in the house
gay e,vas,cow
gawn me bahut gay ba,ena buku vas dan vilaz,there are many cows in the village
gay dud dewela,vas la donn dile,the cow gives milk
ii gay bahut joli ba,sa vas la byin zoli,this cow is very beautiful
jawann,zenn,youth
jawann log me bahut sakthi bharal ba,bann zenn ena buku lenerzi,youth are full of energy
jawann log parrhay me age ba,bann zenn avan dan letid,youth are ahead in studies
jawann log samaj me bahut aktif ba,bann zenn dan sosyete byin aktif,youth are very active in society
bachpann,anfans,childhood
hamaar bachpann gawn me bital ba,mo anfans finn pas dan vilaz,i spent my childhood in the village
bachpann me ham bahut khelat rahni,dan mo anfans mo ti pe zwe buku,i used to play a lot during childhood
bachpann ke yaad hamesha rahela,memwar anfans tuletan res avek nu,childhood memories always stay with us
vijay ego marad ha,vijay enn zom,vijay is a man
port louis ego saharr ha,port louis enn lavil,port louis is a city
gita ego pustak ha,gita enn liv,gita is a book
gyan,konesans,knowledge
mitha,du,sweetness
chhokrra,garson,boy
mamu,mame,maternal uncle
dada,granper,paternal grandfather
bayl,bef,ox
bap pitaji papa,papa papi,father
bhay,frer,brother
burrha,bonom bolom,old man
chhokrri,tifi,girl
mami,tantinn,maternal uncle s wife
dadhi,granmama,paternal grandmother
ma mataji,mama ma mami,mother
bhawj bhabhi,belser,sister sister in law brother s wife
burrhya,bolfam,old woman
raja ego chhokrra ha,raja enn garson,raja is a boy
rani ego chhokrri ha,rani enn tifi,rani is a girl
hamar mamu gharei nai hawan,mo mame pa dan lacaz,my maternal uncle is not at home
khali mami ghare hawan,nek mo tantinn dan lacaz,only mami his wife is at home
gaye dudh dewe la,vas donn dilai,the cow gives milk
bayl niarr kam kare la,li travay kuma bef,he works like an ox works hard
hamar ma bap duno nai ba ham touwar hain,mo pena ni mama ni papa mo enn orfelen,i do not have either mother or father i am an orphan
buddha awroo budhi doono roj mandir jalan sa,bolom ek bolfam toulezour al kovil,both the old man and his wife old woman go daily to the temple
layka batchtcha,zanfan,child
laykan,zanfan,children
nadhi,larivyer,river
nadhiyan,larivyer,rivers
admi,dimunn,people
lorr,larm,tears
jiwann zindagi,lavi,life breath
ego layka awata,enn zanfan pe vini,a child is coming
laykawan khelat hawan sa,bann zanfan pe zwer,the children are playing
nadhi me pani bahela,delo dilo pe koule dan larivyer,water flows in the river
nadhiyan me barrhh aila se pani khub ba,apre inondasyon larivyer ranpli ar dilo,after the flood the rivers are full
okar ankh me setap tap lor choowa ta,li pa kapav aret so larm,she just can t stop her tears
ek thop lor nai choowal okar ankh me se,pena enn gut larm ki finn tombe depi so lizye,not a drop of tear fell from her eyes
cyclone me hamar ghar tut gail,mo lakaz finn kase dan siklonn,my house was destroyed in the cyclone
cyclone me sab ke ghar tut gail,tu bann lakaz finn kase dan siklonn,all the houses were destroyed in the cyclone
ham ego pakal aam khaili,mo finn manz enn mang byen mir,i ate a ripe mango
gantchi me bahut aam pharal ba,pye la ranpli ar mang,the tree is ladden with mangoes
bahut paani pi li,mo finn bwar boku buku dilo,i drank a lot of water
pani nai ba,pena dilo,there s no water
ram kitab padhata,ram pe lir liv la,ram is reading the book
ram aayil,ram finn vini,ram came
mohan sohan ke bat sunlak,mohan finn ekut parol sohan,mohan listened to sohan
mohan kekar bat sunlak,mohan finn ekut parol kisannla,mohan listened to whose words
sabeet hanswa se ghans kaatata,sabeet pe kup lerb avek enn fosi fusi,sabeet is cutting the grass with a sickle
ma apan laika khaatir aam lele aile,ma finn amenn mang pu so bann zanfan,mother has brought mangoes for her children
okra ke phal delan,li finn donn done li fri frwi,he gave him fruits
gantchi se aam giral,mang finn tombe depi pye,the mango fell from the tree
okar m,so mama,his mother
ram ke maa,ram so mama,ram s mother
dada ke sangue,ansam ek so granper,in the company of his grandfather
khet me sabzi hola,legim pe pus dan karo,vegetables are grown in the farm
ram se uparr chadh gaile,li finn mont pli lao ki ram,he climbed above higher than ram
he bhagwan,o bondye,o my god
arey layka,o zanfan,o child
ari rani kahan gaile,o rani kot to finn ale,o rani where have you gone
ham tor se i bat bolat hai ki meera ego achchha chhokrri ha,mo pe dir twa ki meera enn bon tifi,i am telling you that meera is a good girl
hamni kal phajire hi nikal jaib sa,nu pu ale dime gramatin,we will leave tomorrow morning
tou khaa le lah,eski to finn manze,have you eaten
u ghar kar lelak,li finn marye ankor enn fwa,he married again
u log football boule khelat hawan sa,zot pe zwe futbol bul,they are playing football
ii hamar kaam ke tchij ha,sa enn zafer itil pu mwa,this is useful to me
i achchha nai ba,sannla pa bon,that object is not good
koi aawat ba,ena kikenn pe vini,somebody is coming
ghar me koi ba,ena kikenn dan lakaz,is there somebody at home
birro me ego awatta ta ego jata,dan biro kan enn vini lot ale,in the office if one is coming another is going
kono ego chhokrra haija awa,kikenn garson vinn isi,anyone boy come here please
sabh koi awe sake la,tu dimunn kapav vini,all anyone may come
hamar lague kuchhou nay ba,mo pena naryen ditu,i have nothing at all
tu bolat hawa ki oun kuchhou dihan,to pe dir ki li pu donn kiksoz,you are saying that he will give something
ke awat ta,kisannla pe vini,who is coming
kown badha ba kown chhota ba,kisannla pli gran ek kisannla pli tipti,who is bigger who is smaller
kewan log awat ta,ki dimunn pe vini,who are those coming
je je aai se kuch pai,seki vini pu gayn kiksoz,who ever will come will benefit
jawn jawn samagri anle hawa okar oupyog hoi,tu bann zafer ki to finn amene pu servi sa,whatever whichever materials you have brought will be utilized
ham hi chal jaib,mo mem mo pu ale,i will go myself
tu apne hi prastut ho a,to mem to prezan,you yourself be present
ham apne aap haw ja chal jaib,mo pu ale laba mo tusel,i will go there on my own
tu apne aap pahuchjaiba na,eski to pu ariv laba to tusel,will you reach there on your own
ham,mo,i
hamni,nu,us
hamni ka,nu,ours
hamra ke,pu mwa,to me
hamni ke,pu nu,to us
hamra se,avek mwa,from me
hamni se,avek nu,with us
hamaar,mo,mine
hamra me,dan mwa,in me
hamra par,lor mwa,upon me
hamni me,dan nu,in us
hamni par,lor nu,on us
tu,twa,you
tu log,zot,you all
tohra ke,pu twa,to you
tu log ke,pu zot,to you all
tohar se,avek twa,from you
tu log se,avek zot,from you all
tohar khatir,pu twa,for you
tu log khatir,pu zot,for you all
tohar,to,yours
tohar me,dan twa,in you
tohar par,lor twa,upon you
tu log me,dan zot,in you all
tu log par,lor zot,upon you all
u,li,he she it
u log,zot,they
ounke oke okra oke,pu li,for him
ouh log ke,pu zot,for them
ounkar okar me,dan li,in him
ounkar okar par,lor li,upon him
ounh log me,dan zot,in them
ounh log par,lor zot,upon them
ii,li,him her
inhen log,bann dimunn la,these people
ekar khatir,pu li,from him
ekra ke,pu li,to him
inkar se,avek li,from him
ih log ke,pu sa bann dimunn la,to these people
inh log se,avek zot,from them
ham ekar bare me kuchh nay jani la,mo pa kone nanyen lor sa,i don t know anything
hamni hawja nay jaibe sa,nu pa pu ale laba,we won t go there
ouh ab ka kari,ki li pu fer aster,what will he do now
ii bilkul thik ba,sa korek net,this is quite right
tu port louis me kahan rahe le,kot to reste dan port louis,where do you live in port louis
ham hi howja rahab,mo mem pu reste laba,i ll be there myself
koi awe hola ba,ena kikenn pe vini,someone is coming
kawn eissan baat bola ta,kisannla dir parol koumsa,who says such a word
aab toke kaunchi chahein la,ki to anvi aster,what do you want now
kucho pi le,bwar enn kiksoz,have something to drink
phulwa lal ba,fler la ruz,the flower is red
ramesh achchha layka ba,ramesh enn bon garson,ramesh is a good boy
rita ego sundar chhokrri ba,rita enn zoli tifi,rita is a beautiful girl
how lota wa kahan ba,kot sa lota la ete,where is that lota
haye ganch wa chotta ba,pye la tipti,this tree is small
haye chithiya oke de da,donn li sa let la,give him this letter
anand ke du go kutta ba,anand ena de lisyin,anand has two dogs
kaissen phul,ki kalite fler,which type of flower
kaissen layka,ki kalite garson,which type of boy
kaissen chhokrri,ki kalite tifi,which type of girl
kaun hola lota,ki lota,which lota
kaissen ganch,ki kalite pye,which type of tree
kaissen chithiya,ki kalite let,which letter
ketna kutta,konbyin lisiyin,how many dogs
lal,ruz,red
jawab,repons,reply
sundar,zoli,beautiful
chotta,tipti,small
du go,de,two
achchha,bon,good
hai,sannla,this one
howe,lot la,that one
ujarr,blan,white
karrya,nwar,black
harryarr,ver,green
piyarr,zonn,yellow
aakaar,form,shape
gol,ron,round
karre,kare,square
triyang,triyang,triangle
baharr,deor,outside
bhitarr,andan,inside
ouncha,lao,above
nitche,anba,below
awastha,kalite,quality
mota,gro,fat
patrra,mingi mingi,thin
narram,mu,soft
garam,so,hot
thannda,fre,cold
gun,kalite,type
jagha,landrwa,place
kharab,move,bad
niman,bon,good
ved tcharr go ba,ena kat ved,there are four vedas
pantch kilo alu ana,amenn sink kilo pomdeter,bring 5 kgs of potatoes
thora pani da,donn mwa enn tigit dilo,give me some a little water
i hamaar kalam ha,sa mo plim sa,this is my pen
ham thik ba,mo bien,i am fine
sab thik ba,tou korek,everything is fine
ka haal ba,ki manyer,how are you
ham khush bani,mo kontan,i am happy
ham jaat bani,mo pe ale,i am going
ham aawat bani,mo pe vini,i am coming
ham baithal bani,mo pe asize,i am sitting
ham kaam karat bani,mo pe travay,i am working
abhi samay ba,aster ena letan,there is time now
ii ghar ba,sa lakaz la,this is the house
ii kamra ba,sa lasam la,this is the room
darwajja band ba,lapot ferme,the door is closed
paani thanda ba,dilo la fre,the water is cold
khana tayaar ba,manze pare,the food is ready
aaj garmi ba,zordi fer so,today is hot
aaj thand ba,zordi fer fre,today is cold
barish barsat ba,lapli pe tonbe,it is raining
hawa tej ba,divan for,the wind is strong
mausam accha ba,letan bon,the weather is good
ham paani mangat bani,mo pe demann dilo,i am asking for water
ham khana khat bani,mo pe manze,i am eating
ham rukat bani,mo pe atann,i am waiting
havaa bahat ba,divan pe soufle,the wind is blowing
mausam suhaana ba,letan agreab,the weather is pleasant
dhoop niklat ba,soley pe leve,the sun is rising
samundar shaant ba,lamer kalm,the sea is calm
samundar chanchal ba,lamer agite,the sea is rough
aaj somvaar ba,zordi lindi,today is monday
aaj chhutti ba,zordi conge,today is a holiday
subah ho gala ba,inn fini gramatin,morning is over
shaam ho gala ba,finn fini aswar,evening is over
ham bolat bani,mo pe koze,i am speaking
ham sunat bani,mo pe ekoute,i am listening
ham dekhila,mo pe gete,i am watching
ham samajhila,mo konpran,i understand
ham jaanat bani,mo kone,i know
aaj kaam ba,zordi ena travay,there is work today
kal chhutti bani,demin conge,tomorrow is a holiday
kuch baat ba,ena keksoz,there is something
u theek ba,li bien,he she is fine
ii mushkil ba,sa difisil,this is difficult
ii aasaan ba,sa fasil,this is easy
sab kuch tayaar ba,tou pare,everything is ready
koi nai ba,pena personn,there is no one
raasta band ba,sime ferme,the road is closed
gaadi nai rukal,loto pann arete,the car did not stop
aaj mausam bahut garam ba,zordi fer bien so,today is very hot
bhukh lagal ba,mo gagn fin,i am hungry
dudh khatam ho gala,dile inn fini,the milk is finished
ham kal bazaar gayni,yer mo ti al bazar,yesterday i went to the market
ham derr se pahuch gayni,mo ti ariv tar,i arrived late
ham baad mein phone kari,mo pou telefone pli tar,i will call later
ham samajh gayni,mo finn konpran,i understood
ham khayni,mo finn manze,i have eaten
ham jathayn,mo pe ale,i am going
ham khathayn,mo pe manze,i am eating
hamar dugo bhay ba,mo ena de frer,i have two brothers
hamar sange awa,vini avek mwa,come with me
tou kahan jatawe,kot to pe ale,where are you going
ii sahi nai ba,sa pa korek,this is not correct
ii toke kahan milal,kot to finn zwen sa,where did you get this
ii ke ha,kisannla sa,who is this
ka bolat hawe,ki to pe dir,what are you saying
tohar naam ka ha,ki to nom,what is your name
tou kahan rahe la,kot to reste,where do you live
rita ego sundar chokri ba,rita enn zoli tifi,rita is a beautiful girl
tou ka karat hawe,ki to pe fer,what are you doing
u ke ha,kisannla li,who is he she
u ka karat hawe,ki li pe fer,what is he she doing
u aadmi thik ba,sa zom la bien,that man is good
u aadmi baat samajh gala,sa zom la finn konpran,that man understood
u bimarr ho gala ba,li finn malad,he she became sick
ham bimarr bani,mo malad,i am sick
ham dawat mein jathayn,mo pe al dan fet,i am going to a party
ham ego plim kinni,mo finn aste enn plim,i bought a pen
kaise hawa,ki manyer,how are you
anand ke dugo kutta ba,anand ena de lisien,anand has two dogs
u ka karat hawann,ki li pe fer,what is he she doing
ab gaaye ke shuru kara,koumanse sante,start singing
tou kahan jaat hawa,kot to pe ale,where are you going
hamar ghar kahan ba,kot mo lakaz,where is my house
tohar ghar kahan ba,kot to lakaz,where is your house
baap kaam pe gaylak,papa inn al travay,father went to work
bahin kahan ba,kot ser,where is sister
pyas lagal ba,mo gagn swaf,i am thirsty
pyas lagal ba,mo kontan gato,i like cake
dukan kahan ba,kot laboutik,where is the shop
dukan kahan ba,mo pe dormi,i am sleeping
tohar kapra sundar ba,to linz zoli,your clothes are nice
ghar sappha ba,lakaz prop,the house is clean
ham aaj bazaar jathayn,mo pe al bazar zordi,i am going to the market today
ham ke chai bahut pasand ba,mo kontan dite buku,i like tea a lot
maa khana banawata,mama pe kwi manze,mother is cooking food
u lekol jaldi jata,li pe al lekol vit,he she is going to school quickly
tohar ghar ganda ba,to lakaz sal,your house is dirty
tou bhat khathawe,to pe manz diri,you are eating rice
ham paani piyathayn,mo pe bwar dilo,i am drinking water
u roti khaylak,li finn manz dipin,he she ate bread
ham paani pini,mo finn bwar dilo,i drank water
ham chitthi likhni,mo finn ekrir let,i wrote a letter
u ghar gaylak,li finn al lakaz,he went home
ham ghar mein hayn,mo dan lakaz,i am at home
tani aahista aahista bola,koze dousman,speak slowly
tani dubaara kaha,dir ankor,say again
tou bhojpuri bole la,to koz bhojpuri,you speak bhojpuri
hamra se bhojpuri mein baat kara,koz bhojpuri avek mwa,speak bhojpuri with me
paikhana kahan ba,kot toilet,where is the toilet
hamra saathe naache ke chahata,to anvi danse avek mwa,you want to dance with me
tohar badi yaad aave la,mo mank twa,i miss you
hamra ke akele chhod da,pa kit mwa tousel,do not leave me alone
pulis ke bulaava,apel lapolis,call the police
darvajja khola,ouver lapot,open the door
ham sabzi khathayn,mo pe manz legim,i am eating vegetables
ham chai banawathayn,mo pe fer dite,i am making tea
ham gaana sunathayn,mo pe ekout lamizik,i am listening to music
ham sabzi tayaar karathayn,mo pe prepar legim,i am preparing vegetables
ham tv dekhathayn,mo pe get tv,i am watching tv
tou khirki band kara,ferme lafnet,close the window
ham lekol mein kaam karathayn,mo pe travay dan lekol,i am working at school
ham ghar mein araam karathayn,mo pe repo lakaz,i am resting at home
u chai banayalak,li finn fer dite,he made tea
ham chai piyab,mo pou bwar dite,i will drink tea
ham paani piyab,mo pou bwar dilo,i will drink water
u kapra dhoylak,li finn lav linz,he washed clothes
ham gaadi saf karathayn,mo pe netway loto,i am cleaning the car
ham ghar mein padhathayn,mo pe etidie lakaz,i am studying at home
ham ghar ke kamra saaf karthayn,mo pe netway lasam,i am cleaning the room
u dokterr ke pas gaylak,li finn al kot dokter,he went to the doctor
ham padhai karthayn,mo pe etidie,i am studying
ham khel khatam karathayn,mo pe fini zwe,i finished playing
tou paani le aawa,amenn dilo,bring water
tou bati band kara da,tenn lalimier,turn off the light
u bahar khelata,li pe zwe deor,he is playing outside
tou bazaar se dudh le aawa,aste let dan bazar,buy milk from the market
phirr bhent hoi,nou pou zwenn ankor,we will meet again
tor umar ka ha,ki to laz,what is your age
tou ka kaam kare la,ki travay to fer,what work do you do
tohar ghar mein kon kon ba,kisannla ena dan to lakaz,who is in your house
maaf kara ham bhula gayni,pardon mo ti bliye,sorry i forgot
hamra madad kara,ed mwa,help me
ham tohra se pyar kari la,mo kontan twa,i love you
huan bahut aam ba,ena boukou mang,there are many mangoes
hamar gala kharab ba,mo lagorz fermal,my throat is sore
kutwa hamke kat lelak,lisien inn mord mwa,the dog bit me
bara husyarr ba,li bien entelizan,he is very intelligent
ham fim dekhathayn,mo pe get film,i am watching a movie
u kitaab padhata,li pe lir liv,he is reading a book
ham khirki kholathayn,mo pe ouver lafnet,i am opening the window
u gaana sunela,li pe ekout lamizik,he is listening to music
u kursi par baithal ba,li asiz lor sez,he is sitting on a chair
u mez sappha karata,li pe netway latab,he is cleaning the table
ham paani anle ba,mo finn amenn dilo,i brought water
ham gaadi chalawathayn,mo pe kondir loto,i am driving a car
